Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Lawrence Park,43.7280205,-79.3887901,50e6da19e4b0d8a78a0e9794,Lawrence Park Ravine,43.72696303913755,-79.39438246708775,Park
Lawrence Park,43.7280205,-79.3887901,5082ef77e4b0a7491cf7b022,Zodiac Swim School,43.72853205765438,-79.3828602612317,Swim School
Lawrence Park,43.7280205,-79.3887901,50ed9da8e4b081eabee12672,TTC Bus #162 - Lawrence-Donway,43.72802605799448,-79.38280527753858,Bus Line
Davisville North,43.7127511,-79.3901975,4ba011c2f964a5204a5737e3,Sherwood Park,43.71655100307589,-79.38777567141624,Park
Davisville North,43.7127511,-79.3901975,4e8e73c30cd6209590ae7be4,Summerhill Market North,43.71549914910689,-79.39288125988016,Food & Drink Shop
Davisville North,43.7127511,-79.3901975,4adb2fd3f964a520c42421e3,Homeway Restaurant & Brunch,43.71264120397444,-79.39155655199944,Breakfast Spot
Davisville North,43.7127511,-79.3901975,560f20eb498ef7d04038f8cd,Winners,43.71323606413252,-79.3938728363979,Department Store
Davisville North,43.7127511,-79.3901975,4b7810c3f964a52030b42ee3,Best Western Roehampton Hotel & Suites,43.7088783,-79.3908798,Hotel
Davisville North,43.7127511,-79.3901975,4b0b3691f964a520c62e23e3,Subway,43.7084743635371,-79.39067425664052,Sandwich Place
Davisville North,43.7127511,-79.3901975,4c3f2724db3b1b8d635e6695,900 Mount Pleasant - Residents Gym,43.71167058860572,-79.3917671882441,Gym / Fitness Center
Davisville North,43.7127511,-79.3901975,4da99b34a86e771ea70e84c1,Gym,43.71312601210131,-79.39353747528043,Gym
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,51606062e4b0878cf540f4a2,Barreworks,43.71407030751952,-79.40010911522093,Yoga Studio
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4aec6bbaf964a520e6c621e3,Starbucks,43.71559,-79.40045,Coffee Shop
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4aec79e5f964a5209fc721e3,C'est Bon,43.71678474928588,-79.40040634837081,Chinese Restaurant
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4db86d7cfc608240bc2cbb99,Uncle Betty's Diner,43.7144524368588,-79.40009057656115,Diner
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4b168a88f964a52028ba23e3,lululemon,43.7134783384539,-79.4000817882245,Clothing Store
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4b748e76f964a520cfe32de3,Civello Salon,43.71511093497453,-79.40030409940266,Salon / Barbershop
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,515f21e5e4b03c1e772c36c7,Sushi Shop,43.713861,-79.400093,Restaurant
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4bdd97185b31c9b6f00d9d16,Nailsense,43.71746731916717,-79.40065341489495,Spa
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,5738efd3498ef5d2444c477e,Tio's Urban Mexican,43.71463,-79.4,Mexican Restaurant
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,5d3000908fe07d00081e8b8b,A&W,43.715149,-79.399944,Fast Food Restaurant
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4b005f26f964a5206a3d22e3,Sporting Life,43.71627717160474,-79.40024796918705,Sporting Goods Shop
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,5508810b498e56b2576b2070,Tim Hortons,43.71489400011398,-79.39977586269379,Coffee Shop
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4b7d953df964a52023c82fe3,GAP,43.71544977487359,-79.40008916661074,Clothing Store
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4b9e71eef964a52072e436e3,Second Cup,43.714583000256965,-79.40011973797179,Café
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,4cc4982f42d1b60c889f1e13,St. Clements - Yonge Parkette,43.71206179547874,-79.40425523454469,Park
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,5a234a153ba7676492aaf1ea,The Captain’s Boil,43.715789,-79.400187,Seafood Restaurant
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,51969655498e69dda5f74f16,Drake General Store,43.714712809782114,-79.40015650911188,Gift Shop
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,53bdcf7a498ed37c87ab9968,Anytime Fitness,43.71765439,-79.40043421,Gym / Fitness Center
Davisville,43.7043244,-79.3887901,4b939ca4f964a520344a34e3,Thobors Boulangerie Patisserie Café,43.704513877453266,-79.38861602551758,Café
Davisville,43.7043244,-79.3887901,4ae6ea6ef964a52082a721e3,Jules Cafe Patisserie,43.70413799694304,-79.38841260442167,Dessert Shop
Davisville,43.7043244,-79.3887901,5169d445e4b07de190b5c3d6,Marigold Indian Bistro,43.702880859375,-79.38800811767578,Indian Restaurant
Davisville,43.7043244,-79.3887901,4b939d18f964a520454a34e3,Zee Grill,43.70498511291793,-79.38847622354874,Seafood Restaurant
Davisville,43.7043244,-79.3887901,4adb97f3f964a520402921e3,XO Gelato,43.70517671239303,-79.3887930388649,Dessert Shop
Davisville,43.7043244,-79.3887901,4e125f30b61c637b97b6251c,Viva Napoli,43.70575225315343,-79.38912464296774,Pizza Place
Davisville,43.7043244,-79.3887901,4b801467f964a5203e5030e3,June Rowlands Park,43.70051698238234,-79.38918866607341,Park
Davisville,43.7043244,-79.3887901,4f79e8a1e4b03b459fae7e97,Starbucks,43.705923,-79.389548,Coffee Shop
Davisville,43.7043244,-79.3887901,4b258fcef964a520d37324e3,Sakae Sushi,43.70494407149989,-79.38870408604551,Sushi Restaurant
Davisville,43.7043244,-79.3887901,4bd4b2546798ef3bb235628d,Florentia Ristorante,43.703594,-79.3879846,Italian Restaurant
Davisville,43.7043244,-79.3887901,4b71edddf964a520cb642de3,Positano,43.704558,-79.38863854,Italian Restaurant
Davisville,43.7043244,-79.3887901,4b1eb103f964a520e61d24e3,Flaky Tart,43.70653850357435,-79.38961139953942,Dessert Shop
Davisville,43.7043244,-79.3887901,4dcda6b7e4cd130e16534f51,Thai Spicy House,43.7019616162845,-79.3875129672506,Thai Restaurant
Davisville,43.7043244,-79.3887901,4b13d0bff964a5206e9923e3,Bread and Butter,43.70158248227423,-79.3873587869354,Sandwich Place
Davisville,43.7043244,-79.3887901,4aec60d6f964a5207cc621e3,GoodLife Fitness Toronto Mount Pleasant and Davisville,43.700802,-79.386417,Gym
